time,xaccelerometer,yaccelerometer,zaccelerometer,force
4.3,0.0232231418,-8.1013655491,0.2064545275,-0.8259657584
4.31,0.023219427,-7.9044075707,0.1925067052,-0.7917948594
4.32,0.0248242381,-7.7171050829,0.1726414812,-0.7594224289
4.33,0.0264327554,-7.5405325749,0.1490104242,-0.7270499983
4.34,0.0296461007,-7.3752279075,0.1216184862,-0.6964760362
4.35,0.0323281897,-7.2227984881,0.0942179231,-0.6694990107
4.36,0.0350090518,-7.0896727406,0.0673533999,-0.646118922
4.37,0.0366200116,-6.9742592077,0.0442423985,-0.6245373016
4.38,0.0360887136,-6.8733418132,0.0216760094,-0.6047541496
4.39,0.0371574109,-6.797621275,0.0060794608,-0.5885679343
4.4,0.0371562142,-6.7973364835,0.0060200094,-0.5759786558
4.4000451467,0.0355513281,-6.7470081181,-0.0047010524,-0.5651878456
4.4100225734,0.0328728898,-6.7078543908,-0.0030977144,-0.5597924405
4.43,0.0296606754,-6.7196141947,0.00655979,-0.5579939721
4.44,0.023768791,-6.7571198016,0.0205190646,-0.5597924405
4.45,0.020010787,-6.8160999173,0.0393125509,-0.5633893772
4.46,0.0135827037,-6.8944032286,0.0640135862,-0.5705832507
4.47,0.0087535708,-6.9995208715,0.0892638821,-0.5813740609
4.48,0.0023230782,-7.1164776609,0.113979302,-0.5957618078
4.49,-0.0030410219,-7.2500589976,0.1392296021,-0.6137464914
4.5,-0.0073327722,-7.3997401808,0.1628728615,-0.6353281118
4.51,-0.0110871614,-7.5601656722,0.183296076,-0.6587082005
4.52,-0.0121654108,-7.734536223,0.2004956801,-0.6820882892
4.53,-0.01109778,-7.9164336608,0.212863419,-0.7090653147
4.54,-0.010560432,-8.1063792437,0.2182513929,-0.7378408085
4.55,-0.0052092694,-8.3043741507,0.2145105188,-0.7702132391
4.56,-0.0003825492,-8.5013157717,0.2043165475,-0.804384138
4.57,0.0081880283,-8.716460351,0.1866031672,-0.8403535053
4.58,0.0167667826,-8.9337864862,0.1661929116,-0.8763228725
4.59,0.0253455367,-9.1500463729,0.1409519145,-0.9140907082
4.6,0.0355293254,-9.3695166734,0.1151643263,-0.9500600755
4.61,0.0414364829,-9.5922067,0.0883033652,-0.9896263795
4.62,0.0462643429,-9.8143682134,0.0619761916,-1.0291926835
4.63,0.0548350249,-10.0445605438,0.0404751683,-1.0687589875
4.64,0.0602036492,-10.2774475181,0.0264901215,-1.1065268231
4.65,0.0634252741,-10.5108757157,0.0237796338,-1.1460931271
4.66,0.0655722537,-10.735737497,0.0296711872,-1.1838609628
4.67,0.0655768266,-10.8109121329,0.0341673137,-1.2234272668
4.6700425532,0.0655768266,-11.1864920075,0.0629518076,-1.259396634
4.6800212766,0.0612920183,-11.4062184625,0.0898287726,-1.2989629381
4.7,0.0609295208,-11.4745181898,0.0995415879,-1.3349323053
4.7000422833,0.0607501665,-11.8074230274,0.1515732327,-1.3691032042
4.7100211416,0.0575376722,-11.989025853,0.1822342492,-1.4014756348
4.73,0.0564641959,-12.149863792,0.2106816438,-1.432049597
4.74,0.0575320342,-12.293713785,0.2295062532,-1.4590266224
4.75,0.0559291386,-12.4187854066,0.2375877624,-1.4842051795
4.76,0.0575309243,-12.5266817652,0.2386769052,-1.5039883315
4.77,0.0586043875,-12.6040187673,0.2295647033,-1.5237714835
4.78,0.0644922256,-12.6630848741,0.2102444134,-1.5381592305
4.79,0.0655746018,-12.7060478668,0.1817883329,-1.550748509
4.8,0.0693222432,-12.7264861496,0.1500963596,-1.5579423825
4.81,0.0736105084,-12.7227798119,0.1178615459,-1.5633377875
4.82,0.0768297554,-12.7008161286,0.0845533096,-1.5669347243
4.83,0.0800467867,-12.6616783467,0.0566044303,-1.5669347243
4.84,0.0843339553,-12.6096528034,0.0372451879,-1.5615393192
4.85,0.0864830467,-12.5420707653,0.024873742,-1.5543454457
4.86,0.0886277341,-12.4674950221,0.0237760912,-1.5435546355
4.87,0.0848865923,-12.3821945532,0.0339610607,-1.530965357
4.88,0.0843438551,-12.2818774711,0.0554286498,-1.5147791417
4.89,0.0816673639,-12.1708192058,0.0812086333,-1.4967944581
4.9,0.0784514227,-12.0511706321,0.111286757,-1.4752128377
4.91,0.0764762961,-12.0072243339,0.1210315371,-1.451832749
4.9100404858,0.0666611048,-11.7759357244,0.1671687724,-1.4248557235
4.9200202429,0.0607572515,-11.6105323441,0.1945959219,-1.3978786981
4.94,0.0537951196,-11.4282829789,0.2144623097,-1.3691032042
4.95,0.0473599795,-11.2324440731,0.2252259931,-1.3367307737
4.96,0.0425312036,-11.0205119373,0.226319943,-1.3025598748
4.97,0.0414477679,-10.9462937966,0.2243495119,-1.2665905075
4.97004,0.03448864,-10.5713950779,0.206471298,-1.2306211402
4.98002,0.0301939085,-10.3243413631,0.1849742611,-1.1928533046
5,0.030189632,-10.0718512558,0.1602878641,-1.1532870006
5.01,0.0285843146,-9.8158904658,0.1350374652,-1.1137206966
5.02,0.0275109074,-9.5631366034,0.1054964046,-1.0741543926
5.03,0.0291141139,-9.3146735831,0.0802364272,-1.0327896202
5.04,0.0301875169,-9.0710390923,0.0576659786,-0.9932233162
5.05,0.0339354311,-8.8295563914,0.039926689,-0.9536570122
5.06,0.0339428193,-8.5977180524,0.0286314282,-0.9140907082
5.07,0.0350130559,-8.3733966345,0.0221747459,-0.8763228725
5.08,0.0371556399,-8.1667636773,0.0248431631,-0.8385550369
5.09,0.0344842249,-7.9746257992,0.0328916269,-0.8025856696
5.1,0.0328736156,-7.7948344034,0.0452403314,-0.7702132391
5.11,0.0323353536,-7.6284564345,0.0613509555,-0.7378408085
5.12,0.0296586679,-7.4754939878,0.0785413503,-0.7108637831
5.13,0.0275129403,-7.3364826397,0.1010960546,-0.6838867576
5.14,0.0221574586,-7.2194571152,0.1215162952,-0.6587082005
5.15,0.0200065496,-7.1180060735,0.1403236928,-0.6371265801
5.16,0.0162564536,-7.0278323723,0.1559106048,-0.6173434281
5.17,0.0130383909,-6.9564258943,0.1672014541,-0.6029556812
5.18,0.0098213613,-6.9021943816,0.1715130066,-0.5903664027
5.19,0.0087449017,-6.8640635541,0.1742024259,-0.5795755925
5.2,0.0055319808,-6.8414957567,0.1715263928,-0.5741801874
5.21,0.0060609761,-6.8339543659,0.1693763051,-0.5687847823
5.22,0.007132296,-6.8441163262,0.1554299697,-0.5687847823
5.23,0.0087397894,-6.8703799774,0.1409248358,-0.572381719
5.24,0.0108834562,-6.9095286556,0.1199837549,-0.5795755925
