time,xaccelerometer,yaccelerometer,zaccelerometer,force
9.0200110619,-0.0006816735,-7.8164274448,0.1661290059,-1.6697344419
9.0300110497,-0.0149998146,-7.6194844492,0.1515529171,-1.6514428507
9.0400110375,-0.005486031,-7.4229828883,0.1319783567,-1.596568077
9.0500110254,-0.0246409386,-7.2455263668,0.1221106161,-1.5599848946
9.0600110132,-0.0536367068,-6.9437160574,0.0830595476,-1.5416933033
9.0700110011,-0.0633845528,-6.7569348003,0.0731045054,-1.5051101209
9.080010989,-0.0682577857,-6.6651420897,0.0389794973,-1.4868185297
9.0900109769,-0.0922922064,-6.6073738347,0.014396333,-1.4502353472
9.1000109649,-0.0972757531,-6.530836081,0.0142098569,-1.4502353472
9.1100109529,-0.1213104929,-6.4826902615,0.0044809696,-1.431943756
9.1200109409,-0.121494084,-6.4537883578,-0.0199158788,-1.431943756
9.130010929,-0.1262937598,-6.4440575158,-0.0055081762,-1.4136521647
9.140010917,-0.1071315369,-6.4297156466,-0.0005322106,-1.4136521647
9.1500109051,-0.1165846502,-6.4724149503,-0.000495117,-1.4136521647
9.1600108932,-0.1166577695,-6.5298189683,0.0335573936,-1.4136521647
9.1700108814,-0.107058102,-6.6016012792,0.0143577518,-1.431943756
9.1800108696,-0.1021852673,-6.6734921609,0.0433982012,-1.4502353472
9.1900108578,-0.058949616,-6.7786793294,0.0679436235,-1.4685269384
9.200010846,-0.0538220434,-6.9602257065,0.0973169148,-1.4868185297
9.2100108342,-0.0441856995,-7.0947823645,0.0878083564,-1.5234017121
9.2200108225,-0.0297129633,-7.2289786678,0.1071942559,-1.5416933033
9.2300108108,-0.0056037668,-7.3964723382,0.131665967,-1.5599848946
9.2400107991,0.0089777861,-7.5927585444,0.1269846869,-1.596568077
9.2500107875,0.0042862636,-7.7940171079,0.1464079911,-1.6331512595
9.2600107759,0.0042500946,-8.0000684312,0.1514196612,-1.6880260332
9.2700107643,-0.000550128,-8.2489678756,0.1465912014,-1.7246092156
